net,length_um
net38134,340.385µm
net12218,340.34µm
net44469,340.3µm
net49085,340.255µm
net9028,340.21µm
net48228,340.2µm
net47041,340.11µm
net18426,340.06µm
net48191,339.9µm
net33813,339.81µm
net36043,339.745µm
net10657,339.72µm
net6852,339.63µm
net43343,339.63µm
net6754,339.36µm
net34219,339.32µm
_021973_,339.005µm
data_bram_ctrl_inst.data_ram.raddr\[1\],339µm
net4664,338.6µm
net41229,338.59µm
net4251,338.58µm
net8039,338.4µm
net13762,338.15µm
net42575,338.12µm
net43206,338.03µm
net45630,337.9µm
net6255,337.87µm
net2320,337.64µm
net40590,337.485µm
net49468,337.44µm
net9809,337.36µm
net39972,337.35µm
net47779,337.35µm
net9101,337.18µm
net7968,337.13µm
net13174,337.06µm
net48320,337µm
GPIO_araddr\[6\],336.99µm
net9427,336.82µm
net8662,336.4µm
net10865,336.27µm
net5146,336.26µm
_009438_,336.24µm
net46273,336.22µm
net48150,335.9µm
net45561,335.88µm
net16645,335.66µm
net48539,335.65µm
net49096,335.64µm
_019511_,335.61µm
net10261,335.555µm
net10322,335.455µm
_055869_,335.42µm
net12926,335.42µm
net887,335.39µm
net46313,335.32µm
net10099,335.28µm
net47979,335.055µm
net33766,334.97µm
net5848,334.9µm
net11351,334.9µm
net6763,334.89µm
net13315,334.88µm
net38032,334.84µm
data_bram_ctrl_inst.data_ram.raddr\[0\],334.75µm
net43435,334.73µm
net43729,334.72µm
net36411,334.6µm
net7550,334.565µm
net31408,334.56µm
net33669,334.45µm
net47224,334.32µm
net42652,334.23µm
net36403,334.15µm
net6361,334.03µm
net48141,333.88µm
net36440,333.84µm
net12250,333.8µm
net8143,333.73µm
_019746_,333.66µm
net48182,333.54µm
net9583,333.5µm
net47187,333.49µm
net31775,333.48µm
net39163,333.43µm
net30448,333.33µm
net6778,333.25µm
yz_bram_ctrl_inst.yz_ram.u_mem.u_mem.g_2k\[3\].u_cell.rdata\[4\],332.9µm
net8208,332.84µm
net41384,332.75µm
net36581,332.65µm
net17546,332.61µm
net11186,332.57µm
net42174,332.535µm
_054121_,332.45µm
net3481,332.43µm
net10894,332.4µm
net9127,332.38µm
net11227,332.33µm
net4956,332.23µm
net42103,332.17µm
net1565,332.15µm
net30579,332.1µm
cpu_inst.CORE.core_i.alu_operand_a_ex\[31\],332.09µm
net37712,332.07µm
cpu_inst.CORE.core_i.ex_stage_i.mult_i.op_c_i\[21\],331.98µm
net13799,331.9µm
net6197,331.79µm
net39344,331.785µm
net46316,331.7µm
net45457,331.66µm
net13022,331.58µm
net6573,331.395µm
net10200,331.21µm
net49196,331.155µm
net10744,330.97µm
clknet_5_24_0_clk_i_regs,330.97µm
net3259,330.96µm
net14443,330.9µm
net35640,330.84µm
net36203,330.825µm
net11313,330.76µm
net48705,330.76µm
net8925,330.59µm
net11473,329.99µm
net1663,329.75µm
net39721,329.75µm
net45005,329.7µm
_009157_,329.64µm
_019895_,329.44µm
net39699,329.39µm
net40350,329.39µm
net41215,329.21µm
clknet_5_3_0_clk_i_regs,329.19µm
net7207,329.18µm
net40779,329.03µm
net8850,328.84µm
net41732,328.775µm
net44538,328.77µm
net44899,328.74µm
net44831,328.72µm
net36198,328.68µm
net8040,328.62µm
net45980,328.47µm
net46544,328.46µm
_019774_,328.37µm
net31200,328.36µm
net12761,328.35µm
clknet_5_30_0_clk_i_regs,328.33µm
net32056,328.32µm
net31111,328.3µm
net35147,328.29µm
net37432,328.21µm
net37323,328.2µm
net32705,328.09µm
net7646,328.06µm
net13322,328.02µm
net38791,328.01µm
net44467,327.97µm
net9437,327.92µm
net40771,327.92µm
net8331,327.84µm
net13283,327.76µm
net32825,327.45µm
net39582,327.415µm
net48693,327.38µm
net47916,327.3µm
net39254,327.29µm
net28155,327.26µm
net6970,327.14µm
net32419,327.02µm
net10509,326.92µm
net31747,326.81µm
net43268,326.74µm
net43224,326.66µm
net44946,326.525µm
_021151_,326.46µm
net45274,326.28µm
net48691,326.1µm
net9110,326.01µm
net8171,325.89µm
net9504,325.83µm
net7128,325.8µm
net12235,325.76µm
net42216,325.72µm
net7592,325.71µm
net40103,325.65µm
net14442,325.62µm
net14543,325.61µm
net31946,325.58µm
net10158,325.39µm
net10565,325.32µm
net38862,325.32µm
net3695,325.16µm
net47645,325.12µm
net7436,324.92µm
net47787,324.78µm
net7993,324.66µm
net45592,324.64µm
net10927,324.56µm
net38459,324.48µm
net42138,324.38µm
net34010,324.3µm
net4975,324.225µm
net6640,324.22µm
net30587,324.2µm
net37979,323.98µm
net162,323.865µm
net32619,323.82µm
net46311,323.78µm
net40100,323.77µm
net11791,323.72µm
net31903,323.72µm
net18334,323.605µm
net9221,323.585µm
net9828,323.56µm
net42724,323.555µm
net5289,323.535µm
net47657,323.52µm
net19913,323.515µm
net33535,323.25µm
clknet_leaf_84_clk_i_regs,323.14µm
clknet_5_26_0_clk_i_regs,323.05µm
net10759,323µm
net7241,322.63µm
net9119,322.62µm
net41774,322.58µm
net39677,322.57µm
_019557_,322.54µm
net6342,322.465µm
net44815,322.44µm
net33529,322.39µm
net32269,322.25µm
net49137,322.14µm
net6653,322.13µm
net39499,322.01µm
net32468,321.87µm
net35479,321.865µm
net10562,321.85µm
net7463,321.79µm
net49193,321.69µm
cpu_inst.CORE.core_i.ex_stage_i.mult_i.op_b_i\[17\],321.59µm
net39661,321.49µm
net14262,321.36µm
net6592,321.34µm
net31753,321.26µm
net47234,321.24µm
net36329,321.23µm
net17586,321.14µm
net39201,321.13µm
_010183_,321.09µm
net30928,321.06µm
_020027_,320.96µm
net13021,320.95µm
_009173_,320.9µm
net36952,320.85µm
_012332_,320.82µm
net4447,320.82µm
net41936,320.82µm
net41128,320.74µm
net32900,320.7µm
net47400,320.655µm
net47606,320.63µm
net13878,320.62µm
net48192,320.61µm
net7834,320.545µm
net5133,320.5µm
net7765,320.47µm
net41538,320.47µm
net6920,320.38µm
net37917,320.33µm
net34220,320.22µm
net34026,320.18µm
net37487,320.09µm
clknet_5_13_0_clk_i_regs,320.05µm
net34058,320.05µm
_012233_,320.04µm
net39407,320.03µm
net44712,320.02µm
net38436,320µm
net13031,319.95µm
net44627,319.95µm
net12932,319.905µm
_019073_,319.86µm
net13516,319.72µm
net42423,319.64µm
net49441,319.62µm
net39946,319.53µm
net12154,319.5µm
net42715,319.45µm
net13339,319.4µm
net32249,319.4µm
net35986,319.34µm
net45153,319.24µm
net6403,319.21µm
net10935,319.21µm
net32177,319.21µm
_048732_,319.15µm
net39693,319.15µm
net36661,319.08µm
net10396,318.96µm
net6536,318.83µm
net36630,318.825µm
net38953,318.77µm
net40414,318.76µm
net48690,318.735µm
net9999,318.63µm
net48524,318.61µm
net8041,318.54µm
net47130,318.45µm
net43890,318.43µm
net6755,318.38µm
net7976,318.28µm
net40819,318.28µm
net7530,318.22µm
net41455,318.22µm
net40346,318.155µm
net6201,318.145µm
net40847,318.11µm
net40523,318.06µm
net25909,318.01µm
net13088,317.82µm
net9737,317.74µm
net41951,317.66µm
net7609,317.51µm
net36466,317.485µm
net8320,317.48µm
net13306,317.42µm
net40958,317.345µm
net7846,317.33µm
net47903,317.31µm
net46302,317.26µm
net31840,317.23µm
net33820,317.2µm
net36839,317.19µm
net11047,317.14µm
net38354,317.065µm
net35023,317.05µm
net10443,317.02µm
net34128,317.02µm
net43975,317.01µm
net7249,316.95µm
_021278_,316.87µm
net40541,316.8µm
net48716,316.78µm
_022138_,316.715µm
net36162,316.7µm
net2309,316.66µm
