blok,test,tohum,sonuc,gecti,beklenen_basarisiz,ihlal,uyari,hata,yazma,okuma,kontrol,uyusmazlik,sure
uart_yz,uart_yz_bitwalk_test,2,GECTI,True,False,0,0,0,102,99,99,0,0.8
uart_yz,uart_yz_bitwalk_test,3,GECTI,True,False,0,0,0,102,99,99,0,1.2
uart_yz,uart_yz_cpb_zero_test,1,GECTI,True,False,0,0,0,7,24,0,0,0.8
uart_yz,uart_yz_cpb_zero_test,2,GECTI,True,False,0,0,0,7,24,0,0,0.8
uart_yz,uart_yz_cpb_zero_test,3,GECTI,True,False,0,0,0,7,24,0,0,0.8
uart_yz,uart_yz_dma_test,1,GECTI,True,False,0,0,0,5,6,0,0,0.8
uart_yz,uart_yz_dma_test,2,GECTI,True,False,0,0,0,5,6,0,0,0.8
uart_yz,uart_yz_dma_test,3,GECTI,True,False,0,0,0,5,6,0,0,0.8
uart_yz,uart_yz_duplex_test,1,GECTI,True,False,0,0,0,3,2,0,0,0.8
uart_yz,uart_yz_duplex_test,2,GECTI,True,False,0,0,0,3,2,0,0,0.8
uart_yz,uart_yz_duplex_test,3,GECTI,True,False,0,0,0,3,2,0,0,0.7
uart_yz,uart_yz_random_test,1,GECTI,True,False,0,0,0,24,73,45,0,2.9
uart_yz,uart_yz_random_test,2,GECTI,True,False,0,0,0,18,74,45,0,2.6
uart_yz,uart_yz_random_test,3,GECTI,True,False,0,0,0,32,89,51,0,3.4
uart_yz,uart_yz_reset_mid_test,1,GECTI,True,False,0,0,0,9,22,11,0,1.3
uart_yz,uart_yz_reset_mid_test,2,GECTI,True,False,0,0,0,10,21,15,0,1.3
uart_yz,uart_yz_reset_mid_test,3,GECTI,True,False,0,0,0,11,20,12,0,1.3
uart_yz,uart_yz_reset_test,1,GECTI,True,False,0,0,0,0,6,4,0,1.0
uart_yz,uart_yz_reset_test,2,GECTI,True,False,0,0,0,0,6,4,0,0.7
uart_yz,uart_yz_reset_test,3,GECTI,True,False,0,0,0,0,6,4,0,0.8
uart_yz,uart_yz_ro_test,1,GECTI,True,False,0,0,0,2,5,0,0,0.8
uart_yz,uart_yz_ro_test,2,GECTI,True,False,0,0,0,2,5,0,0,0.8
uart_yz,uart_yz_ro_test,3,GECTI,True,False,0,0,0,2,5,0,0,0.8
uart_yz,uart_yz_rx_test,1,GECTI,True,False,0,0,0,6,10,0,0,0.8
uart_yz,uart_yz_rx_test,2,GECTI,True,False,0,0,0,6,10,0,0,0.8
uart_yz,uart_yz_rx_test,3,GECTI,True,False,0,0,0,6,10,0,0,1.1
uart_yz,uart_yz_stress_test,1,GECTI,True,False,0,0,0,6,6,6,0,0.9
uart_yz,uart_yz_stress_test,2,GECTI,True,False,0,0,0,6,6,6,0,1.0
uart_yz,uart_yz_stress_test,3,GECTI,True,False,0,0,0,6,6,6,0,0.8
uart_yz,uart_yz_tx_test,1,GECTI,True,False,0,0,0,19,6,0,0,0.8
uart_yz,uart_yz_tx_test,2,GECTI,True,False,0,0,0,19,6,0,0,0.8
uart_yz,uart_yz_tx_test,3,GECTI,True,False,0,0,0,19,6,0,0,0.8
uart_yz,uart_yz_unmapped_test,1,GECTI,True,False,0,0,0,1,2,1,0,0.9
uart_yz,uart_yz_unmapped_test,2,GECTI,True,False,0,0,0,1,2,1,0,1.2
uart_yz,uart_yz_unmapped_test,3,GECTI,True,False,0,0,0,1,2,1,0,1.0
yz_csr,yz_csr_test,1,GECTI,True,False,0,0,0,3,9,0,0,0.8
yz_csr,yz_csr_test,2,GECTI,True,False,0,0,0,3,9,0,0,0.7
yz_csr,yz_csr_test,3,GECTI,True,False,0,0,0,3,9,0,0,0.7
yz_csr,yz_random_test,1,GECTI,True,False,0,0,0,24,73,0,0,2.6
yz_csr,yz_random_test,2,GECTI,True,False,0,0,0,18,74,0,0,2.5
yz_csr,yz_random_test,3,GECTI,True,False,0,0,0,32,89,0,0,2.8
yz_csr,yz_reset_mid_test,1,GECTI,True,False,0,0,0,8,23,0,0,1.3
yz_csr,yz_reset_mid_test,2,GECTI,True,False,0,0,0,9,22,0,0,1.3
yz_csr,yz_reset_mid_test,3,GECTI,True,False,0,0,0,10,21,0,0,1.3
yz_csr,yz_reset_test,1,GECTI,True,False,0,0,0,0,2,0,0,1.5
yz_csr,yz_reset_test,2,GECTI,True,False,0,0,0,0,2,0,0,1.6
yz_csr,yz_reset_test,3,GECTI,True,False,0,0,0,0,2,0,0,1.2
yz_csr,yz_ro_test,1,GECTI,True,False,0,0,0,4,9,0,0,1.1
yz_csr,yz_ro_test,2,GECTI,True,False,0,0,0,4,9,0,0,0.9
yz_csr,yz_ro_test,3,GECTI,True,False,0,0,0,4,9,0,0,1.0
yz_csr,yz_stress_test,1,GECTI,True,False,0,0,0,6,6,0,0,0.7
yz_csr,yz_stress_test,2,GECTI,True,False,0,0,0,6,6,0,0,0.7
yz_csr,yz_stress_test,3,GECTI,True,False,0,0,0,6,6,0,0,0.7
yz_csr,yz_unmapped_test,1,GECTI,True,False,0,0,0,3,8,7,0,1.0
yz_csr,yz_unmapped_test,2,GECTI,True,False,0,0,0,3,8,7,0,0.8
yz_csr,yz_unmapped_test,3,GECTI,True,False,0,0,0,3,8,7,0,0.7
